Temperature,SS,G-10,Nylon,Lead,Brass,Nickel,Gd-Rh,Gd0.6-Er0.4-Rh,Er3-Ni,Er-Ni,Er-Ni2,Er-Al2,Er-Dy0.8-Ni2,Kapton,Nd,Er3-Ni (N),Er0.9-Yb0.1-Ni,Er3-Co,Er0.6-Pr0.4,Ho-Cu2,Er-Ni0.9-Co0.1,Ho2-Al,Er-Ag0.9-Al0.1,Ho-Sb,Dy-Sb,Gd-Sb,Er,Er0.5-Pr0.5,GAP_GdAlO 3,GOS_Gd 2 O 2 S
1.83052,0.00714,0.00087,0.00043,0.00214,0.00029,0.00193,0.06229,0.12814,0.01661,0.05449,0.07524,0.00048,0.01237,0.00013,0.02720,0.08273,0.03797,0.03253,,0.08016,0.02229,0.10749,0.00852,0.00003,0.01697,0.02090,,0.01430,0.26929,0.20168
1.85152,0.00722,0.00088,0.00043,0.00216,0.00029,0.00195,0.06324,0.12961,0.01709,0.05542,0.07657,0.00051,0.01263,0.00013,0.02780,0.08285,0.03903,0.03307,,0.08145,0.02321,0.10825,0.00865,0.00004,0.01705,0.02111,,0.01455,0.27244,0.20418
1.87277,0.00730,0.00089,0.00044,0.00218,0.00029,0.00197,0.06421,0.13109,0.01759,0.05637,0.07792,0.00053,0.01290,0.00013,0.02842,0.08297,0.04011,0.03362,,0.08277,0.02416,0.10903,0.00878,0.00004,0.01714,0.02132,,0.01481,0.27563,0.20669
1.89425,0.00739,0.00090,0.00044,0.00221,0.00030,0.00199,0.06519,0.13260,0.01810,0.05733,0.07929,0.00056,0.01318,0.00014,0.02905,0.08310,0.04121,0.03419,,0.08410,0.02516,0.10982,0.00891,0.00005,0.01722,0.02154,,0.01507,0.27886,0.20921
1.91598,0.00747,0.00091,0.00045,0.00224,0.00030,0.00202,0.06618,0.13412,0.01862,0.05830,0.08068,0.00060,0.01347,0.00014,0.02970,0.08324,0.04234,0.03476,,0.08546,0.02619,0.11064,0.00904,0.00005,0.01731,0.02176,,0.01534,0.28213,0.21174
1.93797,0.00756,0.00092,0.00045,0.00226,0.00030,0.00204,0.06718,0.13566,0.01916,0.05929,0.08210,0.00063,0.01376,0.00015,0.03037,0.08339,0.04350,0.03535,,0.08684,0.02726,0.11149,0.00918,0.00006,0.01740,0.02198,,0.01562,0.28545,0.21428
1.96020,0.00764,0.00093,0.00046,0.00229,0.00031,0.00206,0.06819,0.13721,0.01971,0.06028,0.08355,0.00067,0.01405,0.00015,0.03105,0.08354,0.04468,0.03595,,0.08824,0.02836,0.11235,0.00932,0.00006,0.01749,0.02221,,0.01590,0.28881,0.21684
1.98269,0.00773,0.00095,0.00046,0.00231,0.00031,0.00208,0.06921,0.13879,0.02028,0.06129,0.08502,0.00070,0.01435,0.00015,0.03175,0.08370,0.04589,0.03656,,0.08967,0.02951,0.11324,0.00947,0.00007,0.01759,0.02244,,0.01619,0.29222,0.21941
2.00544,0.00782,0.00096,0.00047,0.00234,0.00031,0.00211,0.07026,0.14038,0.02087,0.06231,0.08651,0.00074,0.01466,0.00016,0.03247,0.08387,0.04712,0.03719,,0.09112,0.03070,0.11415,0.00962,0.00008,0.01768,0.02268,,0.01648,0.29567,0.22200
2.02844,0.00791,0.00097,0.00047,0.00237,0.00032,0.00213,0.07137,0.14199,0.02147,0.06335,0.08803,0.00079,0.01498,0.00016,0.03322,0.08405,0.04839,0.03783,,0.09260,0.03194,0.11508,0.00977,0.00009,0.01778,0.02292,,0.01679,0.29918,0.22460
