time_s,solver_dt_s,ggg_Tavg_K,cold_stage_Tavg_K,sample_Tavg_K,support_1_heat_leak_W,support_2_heat_leak_W,switch_heat_flow_W,newton_iterations,trajectory_validation_state
784.0,2.0,2.361162692348999,2.36107977745861,2.3610798274037306,1.8844202288063997e-06,1.9011671623730447e-06,0.00010421665833598372,2,NOT_PERFORMED
786.0,2.0,2.3648358950102604,2.3647534369242402,2.364753486231433,1.880775102076554e-06,1.8974360187308527e-06,0.00010398311798660208,2,NOT_PERFORMED
788.0,2.0,2.3685096799324503,2.3684276751708326,2.3684277238409472,1.8771227172388069e-06,1.893697598235903e-06,0.00010374953992116415,2,NOT_PERFORMED
790.0,2.0,2.3721840491588324,2.372102494275713,2.372102542309578,1.873463078797191e-06,1.889951890818635e-06,0.0001035159240162822,2,NOT_PERFORMED
792.0,2.0,2.3758590047464123,2.375777896329146,2.375777943727609,1.8697961627518353e-06,1.8861988881966336e-06,0.0001032822701463268,2,NOT_PERFORMED
794.0,2.0,2.379534548766549,2.3794538834355152,2.3794539301993947,1.8661219624033466e-06,1.8824385748633181e-06,0.00010304857818438856,2,NOT_PERFORMED
796.0,2.0,2.383210683303742,2.3831304577115393,2.383130503841658,1.8624404580452762e-06,1.8786709200588072e-06,0.00010281484800352719,2,NOT_PERFORMED
798.0,2.0,2.3868874104576947,2.3868076212892273,2.386807666786394,1.8587516474962727e-06,1.8748959151092147e-06,0.00010258107947573047,2,NOT_PERFORMED
800.0,2.0,2.3905647323443118,2.390485376316494,2.390485421181516,1.8550555407216288e-06,1.8711135544472434e-06,0.0001023472724715184,2,NOT_PERFORMED
802.0,2.0,2.394242651093574,2.3941637249544505,2.3941637691881286,1.851352116713016e-06,1.8673238188775385e-06,0.00010211342686099646,2,NOT_PERFORMED
804.0,2.0,2.397921168850343,2.3978426693788677,2.3978427129819893,1.8476413737848808e-06,1.8635266830465916e-06,0.00010187954251204673,2,NOT_PERFORMED
806.0,2.0,2.4015996612046897,2.4015215878967506,2.401521630888102,1.8439295607333598e-06,1.8597287456324354e-06,0.00010164565996980878,2,NOT_PERFORMED
808.0,2.0,2.405277312002184,2.4051996632290606,2.405199705633428,1.8402219218319746e-06,1.8559355390600423e-06,0.00010141183124384319,2,NOT_PERFORMED
810.0,2.0,2.4089541176581153,2.4088768902673374,2.408876932086438,1.8365138020002018e-06,1.852142134269713e-06,0.00010117805563324204,2,NOT_PERFORMED
812.0,2.0,2.412630074404618,2.412553265246827,2.412553306482239,1.832803772408129e-06,1.8483470506475308e-06,0.00010094433338314401,2,NOT_PERFORMED
814.0,2.0,2.416305178370485,2.416228784310432,2.4162288249636465,1.829091046007564e-06,1.8445494938137295e-06,0.00010071066474509502,2,NOT_PERFORMED
816.0,2.0,2.4199794256129534,2.419903443536077,2.4199034836085502,1.825375157967219e-06,1.8407489785975616e-06,0.00010047704997559039,2,NOT_PERFORMED
818.0,2.0,2.423652812129584,2.423577238944361,2.4235772784375085,1.8216557481738248e-06,1.8369451552460154e-06,0.000100243489333745,2,NOT_PERFORMED
820.0,2.0,2.427325333869896,2.4272501665100736,2.427250205425293,1.817932600875462e-06,1.8331377630617357e-06,0.00010000998308314826,2,NOT_PERFORMED
822.0,2.0,2.43099698673773,2.430922222162584,2.4309222605012573,1.814205510036984e-06,1.8293265846081615e-06,9.977653148987795e-05,2,NOT_PERFORMED
824.0,2.0,2.4346677665969887,2.4345934017922057,2.434593439555692,1.8104743303517829e-06,1.825511458722332e-06,9.954313482111806e-05,2,NOT_PERFORMED
826.0,2.0,2.4383376692733694,2.4382637012511736,2.43826373844082,1.806738931016417e-06,1.8216922488662116e-06,9.93097933484224e-05,2,NOT_PERFORMED
828.0,2.0,2.442006690557803,2.4419331163573577,2.4419331529744945,1.802999191140845e-06,1.8178688820092788e-06,9.907650734392753e-05,2,NOT_PERFORMED
830.0,2.0,2.445674826206576,2.44560164289373,2.4456016789396733,1.799255033603268e-06,1.8140412463303041e-06,9.88432770833336e-05,2,NOT_PERFORMED
